('AP035', 'Bika ambon', 'KZGPI-1990', 51.5, 199, 2.1, 1.5, 44.4, 0.3),  
('AP036', 'Bingka', 'KZGMI-2001', 44.4, 273, 5.3, 10.6, 39.1, NULL),  
('AP037', 'Bobengka', 'KZGMI-2001', 46.3, 225, 5.3, 2.6, 45.2, NULL),  
('AP038', 'Bolu peca', 'KZGMI-2001', 55.6, 197, 3.3, 4.6, 35.6, NULL),  
('AP039', 'Brem', 'KZGPI-1990', 37.4, 249, 3.4, 0.4, 58.0, 0.0),  
('AP040', 'Bubur tinotuan (Manado)', 'KZGMI-2001', 80.9, 156, 2.3, 0.2, 15.6, 8.2),  
('AP041', 'Cake tape', 'KZGMI-2001', 32.2, 323, 4.9, 11.5, 50.1, 1.4),  
('AP042', 'Cangkuning', 'KZGMI-2001', 57.5, 204, 2.8, 7.5, 31.4, NULL),  
('AP043', 'Dodol bali', 'KZGPI-1990', 26.5, 298, 3.7, 2.1, 65.9, 0.4),  
('AP044', 'Dodol galamai', 'KZGMI-2001', 16.5, 348, 0.4, 3.8, 76.1, 0.5),  
('AP045', 'Dodol kedondong', 'KZGPI-1990', 26.4, 331, 1.9, 7.6, 63.8, 1.0),
('AP046', 'Dodol manado', 'KZGMI-2001', 26.1, 373, 4.3, 16.5, 51.9, 0.4),  
('AP047', 'Emping beras', 'KZGMI-2001', 13.6, 403, 10.6, 2.2, 85.3, 0.2),  
('AP048', 'Gemblong', 'KZGPI-1990', 36.2, 274, 1.7, 5.4, 55.5, 2.2),  
('AP049', 'Gendar goreng', 'KZGPI-1990', 30.4, 407, 6.4, 28.2, 32.0, 0.1),  
('AP050', 'Intip goreng', 'KZGPI-1990', 6.5, 474, 7.6, 21.6, 62.3, 1.2),  
('AP051', 'Jagung gerontol', 'KZGPI-1990', 61.7, 156, 2.7, 1.3, 33.3, 1.0),  
('AP052', 'Jagung titi', 'KZGPI-1990', 9.2, 374, 9.4, 2.2, 79.1, 0.8),  
('AP053', 'Japilus', 'KZGPI-1990', 3.8, 500, 1.2, 25.1, 67.3, 0.4),  
('AP054', 'Kakicak', 'KZGMI-2001', 43.9, 296, 3.4, 15.1, 36.7, NULL),  
('AP055', 'Kambose', 'KZGMI-2001', 61.5, 164, 3.0, 2.4, 32.6, 4.3),  
('AP056', 'Kapusa', 'KZGMI-2001', 63.5, 158, 4.4, 3.2, 27.8, 5.3),  
('AP057', 'Keddo bodong', 'KZGMI-2001', 33.9, 290, 4.6, 5.7, 55.2, NULL),  
('AP058', 'Kelepon *kue', 'KZGMI-2001', 49.6, 215, 3.7, 3.7, 41.8, 1.0),  
('AP059', 'Kereput', 'KZGMI-2001', 3.5, 580, 4.8, 39.6, 51.1, NULL),  
('AP060', 'Ketoprak', 'KZGPI-1990', 69.1, 153, 7.9, 7.7, 13.0, 2.9),  
('AP061', 'Ketupat kandangan', 'KZGMI-2001', 78.5, 109, 2.2, 5.2, 13.4, NULL),  
('AP062', 'Koya', 'KZGMI-2001', 13.2, 366, 4.2, 4.3, 77.5, 0.8),  
('AP063', 'Koya mirasa', 'KZGMI-2001', 7.2, 370, 8.0, 1.0, 82.2, 0.4),  
('AP064', 'Koyabu', 'KZGMI-2001', 44.2, 241, 3.4, 4.3, 47.2, NULL),  
('AP065', 'Kue ali', 'KZGMI-2001', 12.8, 440, 3.8, 18.5, 64.5, 0.3),  
('AP066', 'Kue bangen', 'KZGMI-2001', 5.6, 442, 3.3, 14.7, 74.2, NULL),  
('AP067', 'Kue gelang', 'KZGMI-2001', 7.1, 448, 5.8, 16.1, 70.0, NULL),  
('AP068', 'Kue jahe', 'KZGPI-1990', 3.7, 425, 1.6, 8.8, 84.6, 1.2),  
('AP069', 'Kue kelapa', 'KZGMI-2001', 3.3, 591, 5.6, 42.1, 47.5, NULL),  
('AP070', 'Kue koa', 'KZGMI-2001', 14.5, 340, 4.8, 0.4, 79.3, NULL),  
('AP071', 'Kue ku temu', 'KZGMI-2001', 46.2, 214, 3.5, 0.2, 49.6, NULL),
('AP072', 'Kue lumpur', 'KZGMS-1993', 40.1, 291, 3.6, 11.1, 44.1, NULL),  
